id,name,name_first,type,sex,year,origin,education
1,MK,Monika Kühn,1,1,NA,NA,1
2,HS,Helke Sander,1,1,1937,1,1
3,CP,Cristina Perincioli,1,1,1946,2,1
4,SF,Sigrid Fronius,1,1,1942,1,1
5,MS,Monika Schmid,1,1,NA,NA,NA
6,BF,Gründung Berliner Frauenzentrum,2,NA,1973,NA,NA
7,HAW,Gründung Homosexuellen Aktion Westberlin,2,NA,1971,NA,NA
8,FKC,Gründung Frauenkommune Cosimaplatz,2,NA,1968,NA,NA
9,BuR,Gründung Frauengruppe Brot und Rosen,2,NA,1971,NA,NA
10,VB,Verena Becker,1,1,1952,2,2
