id,name,type,sex,year
MK,Monika Kühn,1,1,Na
HS,Helke Sander,1,1,1937
CP,Cristina Perincioli,1,1,1946
SF,Sigrid Fronius,1,1,1942
MS,Monika Schmid,1,1,NA
AR,Aktionsrat zur Befreiung der Frauen,2,NA,NA
BF,Berliner Frauenzentrum,2,NA,NA
HAW,Homosexuellen Aktion Westberlin,2,NA,NA
FKC,Gründung Frauenkommune Cosimaplatz,2,NA,NA
BuR,Frauengruppe Brot und Rosen,1,NA,1971
VB,Verena Becker,1,1,1952
