from,to,weight,year
HS,BuR,3,1971
MK,MS,1,NA
CP,HAW,3,1972
MK,FKC,1,1973
MS,FKC,1,1973
CP,FKC,1,NA
SF,BF,1,1973
VB,FKC,1,1970
VB,MS,1,NA
VB,MK,1,NA
BuR,BF,3,1973
HAW,BF,3,1973
CP,BF,3,1973
